title,label,label_name,topic,word_count,age_days,f1_original_recomputed,f1_lexical_only,f1_konjunktiv_ii_only,f1_no_generic_verbs,f1_strong_uncertainty_only,f1_lexical_count,f1_konjunktiv_ii_count,f1_no_generic_count,f1_strong_uncertainty_count
Georges Scelle,1,stable,politics_history,3758,6033,0.532197977647685,0.2660989888238425,0.2660989888238425,0.2660989888238425,0.0,1,1,0,0
Montessori Biberkor,0,contested,politics_history,5744,3744,0.6963788300835655,0.6963788300835655,0.0,0.6963788300835655,0.0,4,0,4,0
Bruttoinlandsprodukt,1,stable,politics_history,5584,3756,0.35816618911174786,0.17908309455587393,0.17908309455587393,0.35816618911174786,0.0,1,1,1,0
Neukirchen-Vluyn,0,contested,geography,6493,5517,0.30802402587401817,0.30802402587401817,0.0,0.15401201293700909,0.15401201293700909,2,0,1,1
George Appo,1,stable,geography,6926,5577,0.43315044758879584,0.43315044758879584,0.0,0.43315044758879584,0.28876696505919724,3,0,3,2
Gesellschaft für Unternehmensgeschichte,0,contested,politics_history,1815,5314,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trier, Stadtbibliothek, Hs. 171/1626",1,stable,politics_history,1866,5562,2.1436227224008575,2.1436227224008575,0.0,1.607717041800643,1.607717041800643,4,0,3,3
Ilse Schwidetzky,0,contested,culture,2254,7038,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Soliman (Elefant),1,stable,culture,2597,7273,1.9252984212552946,1.5402387370042356,0.3850596842510589,1.5402387370042356,1.1551790527531767,4,1,3,3
Wuestenstrom,0,contested,politics_history,3890,6977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
