title,label,label_name,topic,word_count,age_days,f2_hyland_only
Straßenbahn München Baureihe S,1,stable,politics_history,2800,4948,0.0
Babylon A.D.,0,contested,culture,2438,6449,0.0
Richard Laymon,1,stable,culture,2708,7066,0.5202913631633715
Fraunhofer-Institut für Keramische Technologien und Systeme,0,contested,science,3163,6841,0.4083299305839118
Solanum subg. Leptostemonum,1,stable,science,3136,6809,0.8097165991902834
Sexhandel in Thailand,0,contested,geography,2591,5650,0.0
Bruno Büchner,1,stable,geography,2862,5475,0.0
Deutsche Steinzeug Cremer & Breuer,0,contested,politics_history,4735,3727,0.47214353163361666
Wittem-Projekt,1,stable,politics_history,5402,3463,1.4214641080312722
Große Hungersnot in Irland,0,contested,geography,4827,5473,0.0
Teltow-Werft,1,stable,geography,4831,5967,0.0
Staat,0,contested,politics_history,6601,3862,0.2237637055269635
Computerbetrug,1,stable,politics_history,6487,3792,0.4665267086540705
Ludwig-Boltzmann-Institut für Funktionelle Hirntopographie,0,contested,science,2042,3964,1.38217000691085
Drahtgewebe (Filtration),1,stable,science,2028,3238,2.898550724637681
Partidul Social Democrat European,0,contested,politics_history,4067,6142,0.0
Philokartie,1,stable,politics_history,3825,6138,0.7393715341959334
Atari Teenage Riot,0,contested,culture,2984,8129,0.0
Cindy Sherman,1,stable,culture,2813,7866,0.0
Schlacht im Ia-Drang-Tal,0,contested,politics_history,3374,6973,0.0
Chinesische Volksbank,1,stable,politics_history,3333,7069,0.4003202562049639
Hamburg Commercial Bank,0,contested,politics_history,3724,6985,0.0
Korsika im Altertum,1,stable,politics_history,3764,7221,0.0
Helmtherapie,0,contested,science,1606,6387,0.0
Acherontia lachesis,1,stable,science,1644,6076,0.0
EU-Erweiterung 2004,0,contested,politics_history,4246,7872,0.2595380223202699
Handelsgeschäft,1,stable,politics_history,4337,7610,0.2827254735651682
Neokatechumenaler Weg,0,contested,culture,7067,6403,0.0
Günther Anders,1,stable,culture,7414,6370,0.4896360372123388
Chartered Institute for Archaeologists,0,contested,politics_history,1970,3148,1.1983223487118035
Philadelphia and Reading Railroad Bridge (Susquehanna River),1,stable,politics_history,2046,3086,0.0
Neue Kadampa-Tradition,0,contested,culture,3187,7518,0.3705075954057058
Weinbau in Kanada,1,stable,culture,3142,7629,0.0
Timotheus Höttges,0,contested,politics_history,2234,7025,0.0
Josephus Daniels (Schiff),1,stable,politics_history,2320,7039,0.0
Luftlager,0,contested,science,2434,8123,0.0
Löffelhund,1,stable,science,2356,8189,0.8795074758135445
Die Zeitgeist-Bewegung,0,contested,science,2269,5621,0.0
Basfia succiniciproducens,1,stable,science,2217,6089,1.1123470522803114
Tempolimit,0,contested,science,2813,5057,0.0
Lift-off-Verfahren,1,stable,science,2762,5734,0.0
Iqos,0,contested,politics_history,3138,2747,0.0
ASB Bridge,1,stable,politics_history,2819,2840,0.0
Sklavenhandel,0,contested,politics_history,6686,4921,0.20337604230221681
Panzerhaubitze 2000,1,stable,politics_history,7112,4790,0.0
The Third Wave,0,contested,science,1904,6635,1.3071895424836601
Regenbaum,1,stable,science,2149,6650,0.0
Verelendungstheorie,0,contested,politics_history,2803,6150,0.0
Big-Mac-Index,1,stable,politics_history,3101,6577,0.0
Jüngere Dryaszeit,0,contested,science,4041,7523,0.0
Keilzinkung,1,stable,science,4160,7317,0.0
Gestalttherapie,0,contested,science,5807,6863,0.0
Katalyse,1,stable,science,5736,7129,0.3969041476483429
Küchenabfallzerkleinerer,0,contested,science,2890,7233,1.2706480304955527
Kauffmann-White-Schema,1,stable,science,2713,7240,0.4203446826397646
Kurort,0,contested,science,1685,8317,0.6811989100817438
Schäbe,1,stable,science,1623,8149,0.0
Substanzinduzierte Psychose,0,contested,science,4000,7285,0.0
Wechselwirkende Galaxien,1,stable,science,3738,7268,0.5633802816901409
Das sogenannte Böse,0,contested,science,4425,8199,0.4924895345973898
Gänsegeier,1,stable,science,4135,8216,0.0
Pharmahersteller,0,contested,science,5099,6198,0.0
(136199) Eris,1,stable,science,5115,6412,3.676470588235294
PANalytical,0,contested,science,1964,6618,0.5574136008918618
Waldsteppenotter,1,stable,science,2168,6660,0.0
T-Labs,0,contested,science,1563,7299,0.0
Lilium pardalinum subsp. pitkinense,1,stable,science,1511,6986,0.0
Ungarische Notation,0,contested,science,3275,8097,0.6462035541195477
Ankylosauria,1,stable,science,3322,7859,1.0341261633919339
Prophylaxe (Zahnmedizin),0,contested,science,4188,7368,0.8976660682226212
Crashtest-Dummy,1,stable,science,4430,7688,0.0
Alexander-Technik,0,contested,science,2036,8192,0.0
Ringelröteln,1,stable,science,1818,8101,0.0
Neoarchaikum,0,contested,science,3302,7638,0.0
Schlangenadler,1,stable,science,3358,7734,1.7686593562079944
