title,label,label_name,topic,topic_specific,lang,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count
HolidayCheck Group,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,0.0,0.0508,55,12,83,6426,0.012,0,163,7,2018
Drehstrom-Versuchsstrecke Groß-Lichterfelde–Zehlendorf,1,stable,geography,Geography.Regions.Europe.Europe*,de,1.3271,0.011,18,9,34,6775,0.033,0,5042,4,1810
Ifo-Geschäftsklimaindex,0,contested,politics_history,History_and_Society.Business_and_economics,de,0.0,0.093,11,10,150,7779,0.007,1,602,18,1643
Halsamphora des Exekias (Berlin F 1720),1,stable,politics_history,History_and_Society.History,de,2.53,0.065,4,6,52,7148,0.0,0,1670,10,1781
Klaus Berger (Theologe),0,contested,culture,Culture.Philosophy_and_religion,de,1.8367,0.0171,20,32,200,7120,0.002,0,2283,24,5550
Elias Canetti,1,stable,culture,Culture.Biography.Biography*,de,0.4748,0.0061,33,15,321,7178,0.03,0,460,23,5504
Fußball in England,0,contested,culture,Culture.Sports,de,0.3687,0.0636,5,35,308,7206,0.016,1,403,15,8496
Uralische Sprachen,1,stable,culture,Culture.Linguistics,de,2.4089,0.0366,26,53,216,7024,0.012,0,404,23,7959
Wilhelm Aumer,0,contested,culture,Culture.Biography.Biography*,de,0.9975,0.0,89,10,22,2146,0.02,0,241,5,5775
Geneviève Thiroux d’Arconville,1,stable,culture,Culture.Biography.Biography*,de,1.1827,0.0039,49,18,46,2259,0.0,0,5950,8,5869
Bund des russischen Volkes,0,contested,geography,Geography.Regions.Asia.North_Asia,de,1.385,0.013,33,14,72,5808,0.007,0,145,5,4156
Dschabal Sindschar,1,stable,geography,Geography.Regions.Asia.West_Asia,de,1.8136,0.0375,59,11,94,6027,0.0,0,11145,16,4231
Kaufmännischer Verband Schweiz,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,1.25,0.0545,25,8,72,7773,0.007,1,570,13,1990
Lendkanal,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,0.5627,0.0625,3,17,86,7454,0.032,0,1680,16,2039
Erzgebirgischer Schwibbogen,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,2.6247,0.06,20,11,169,8102,0.057,0,4033,10,1863
Tokugawa Ieyasu,1,stable,geography,Geography.Regions.Asia.Asia*,de,2.2535,0.0323,0,9,185,8029,0.0,0,1076,10,1892
Kameralistik,0,contested,politics_history,History_and_Society.Business_and_economics,de,2.0252,0.0381,13,33,198,7024,0.006,1,6647,30,5903
Parkeisenbahn Wuhlheide,1,stable,politics_history,History_and_Society.Transportation,de,1.2461,0.0126,59,47,184,7054,0.026,0,3397,17,6250
Street Football/Episodenliste,0,contested,culture,Culture.Media.Television,de,4.645,0.0211,0,3,16,5086,0.0,0,16,2,5143
Apatheia,1,stable,culture,Culture.Philosophy_and_religion,de,2.9326,0.036,50,14,41,5265,0.017,0,1112,4,4792
Revisionismus,0,contested,politics_history,History_and_Society.Politics_and_government,de,0.5797,0.04,9,8,228,8074,0.004,0,1307,35,2070
