title,label,label_name,topic,word_count,age_days,f4_current_biased_count,f4_current_neutral_count,f4_current_total_count,f4_current_ratio_min3,f4_current_ratio_min2,f4_current_ratio_min1,f4_current_ratio_no_threshold,f4_current_smoothed_ratio,f4_current_biased_density,f4_current_neutral_density,f4_expanded_biased_count,f4_expanded_neutral_count,f4_expanded_total_count,f4_expanded_ratio_min3,f4_expanded_smoothed_ratio,f4_expanded_biased_density,f4_expanded_neutral_density
Apatheia,1,stable,culture,4792,5265,3,6,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.6260434056761268,1.2520868113522536,13,6,19,0.6842105263157895,0.675,2.712854757929883,1.2520868113522536
Revisionismus,0,contested,politics_history,2070,8074,2,3,5,0.4,0.4,0.4,0.4,0.4166666666666667,0.966183574879227,1.4492753623188406,6,3,9,0.6666666666666666,0.65,2.898550724637681,1.4492753623188406
Oliver-Hazard-Perry-Klasse,1,stable,politics_history,2061,7712,0,1,1,,,0.0,0.0,0.25,0.0,0.485201358563804,0,1,1,,0.25,0.0,0.485201358563804
Ökostrom,0,contested,science,6638,5211,0,6,6,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.903886712865321,4,6,10,0.4,0.4090909090909091,0.6025911419102139,0.903886712865321
Physikalische Größe,1,stable,science,6692,5691,0,24,24,0.0,0.0,0.0,0.0,0.02,0.0,3.5863717872086074,0,24,24,0.0,0.02,0.0,3.5863717872086074
Holy Spirit,0,contested,culture,2604,1951,0,3,3,0.0,0.0,0.0,0.0,0.125,0.0,1.152073732718894,0,3,3,0.0,0.125,0.0,1.152073732718894
Ringo (Ballade),1,stable,culture,2764,2579,0,4,4,0.0,0.0,0.0,0.0,0.1,0.0,1.447178002894356,1,4,5,0.2,0.25,0.361794500723589,1.447178002894356
Etikettierungsansatz,0,contested,politics_history,2806,6285,2,2,4,0.5,0.5,0.5,0.5,0.5,0.7127583749109052,0.7127583749109052,4,2,6,0.6666666666666666,0.6428571428571429,1.4255167498218104,0.7127583749109052
Yorktown-Klasse (1937),1,stable,politics_history,2912,6767,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Michael Vassiliadis,0,contested,politics_history,1670,7127,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,1.1976047904191616,6,2,8,0.75,0.7222222222222222,3.592814371257485,1.1976047904191616
Catarina (Schiff),1,stable,politics_history,1731,6980,0,1,1,,,0.0,0.0,0.25,0.0,0.5777007510109763,0,1,1,,0.25,0.0,0.5777007510109763
Parov Stelar,0,contested,culture,2939,6966,0,1,1,,,0.0,0.0,0.25,0.0,0.3402517863218782,0,1,1,,0.25,0.0,0.3402517863218782
Édouard Nanny,1,stable,culture,2965,6920,0,3,3,0.0,0.0,0.0,0.0,0.125,0.0,1.011804384485666,2,3,5,0.4,0.4166666666666667,0.6745362563237775,1.011804384485666
Reinhold Tüxen,0,contested,geography,4380,7475,0,1,1,,,0.0,0.0,0.25,0.0,0.228310502283105,3,1,4,0.75,0.7,0.684931506849315,0.228310502283105
Carrara-Marmor,1,stable,geography,4575,7630,1,1,2,,0.5,0.5,0.5,0.5,0.2185792349726776,0.2185792349726776,2,1,3,0.6666666666666666,0.625,0.4371584699453552,0.2185792349726776
Naturwissenschaft und Religion,0,contested,culture,5940,6019,2,17,19,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.125,0.3367003367003367,2.861952861952862,6,17,23,0.2608695652173913,0.2708333333333333,1.0101010101010102,2.861952861952862
Metallica (Album),1,stable,culture,5993,6421,0,9,9,0.0,0.0,0.0,0.0,0.05,0.0,1.5017520440513932,1,9,10,0.1,0.13636363636363635,0.1668613382279326,1.5017520440513932
